company,category,organization
CPFL,Moradia,$moradia/energia
CTEEP,Moradia,$moradia/energia
EDP,Moradia,$moradia/energia
ELETROBRAS,Moradia,$moradia/energia
ELETRONORTE,Moradia,$moradia/energia
ELETROSUL,Moradia,$moradia/energia
ENEL,Moradia,$moradia/energia
ENERGISA,Moradia,$moradia/energia
EQUATORIAL,Moradia,$moradia/energia
ESPERANZA,Moradia,$moradia/energia
EST UNIF,Moradia,$moradia/energia
ETAP,Moradia,$moradia/energia
ETAU,Moradia,$moradia/energia
GUARACIABA,Moradia,$moradia/energia
INTERLIGACAO ELETRICA,Moradia,$moradia/energia
INTESA,Moradia,$moradia/energia
JAGUAR 6,Moradia,$moradia/energia
NEOENERGIA,Moradia,$moradia/energia
AGS TELECOM,Moradia,$moradia/celular
AMERICEL,Moradia,$moradia/celular
CLARO,Moradia,$moradia/celular
TELEFONICA BRASIL S.A.,Moradia,$moradia/celular
VIVO,Moradia,$moradia/celular
VOIPBRASIL,Moradia,$moradia/celular
CONDOMINIO RESIDENCIAL PRAIA DA GRACIOSA II,Moradia,$moradia/condominio
RESIDENCIAL AUSTRIA,Moradia,$moradia/condominio
RESIDENCIAL JARDIM DAS CEREJEIRAS,Moradia,$moradia/condominio
EDIFICIO CALEGARI,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL SAN LORENZO,Moradia,$moradia/condominio
CONDOMINIO FOCUS BUSINESS CENTER,Moradia,$moradia/condominio
C E MAUA,Moradia,$moradia/condominio
CONDOMINIO SOLE RESIDENCE,Moradia,$moradia/condominio
RESIDENCIAL ERTHAL PALACE,Moradia,$moradia/condominio
CONDOMINIO EDIFICIO DONA JANAINA,Moradia,$moradia/condominio
EDIFICIO MONACO,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL PARQUE UNIVERSITARIO I,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL ALBERTO AMBROSIO DOS SANTOS,Moradia,$moradia/condominio
EDIFICIO MARTA BORGES,Moradia,$moradia/condominio
RESIDENCIAL DOM IGOR,Moradia,$moradia/condominio
RESIDENCIAL DONA SANTINA,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL PIAZZA DE SAN MARCO,Moradia,$moradia/condominio
CONDOMINIO DO RESIDENCIAL SAFIRA,Moradia,$moradia/condominio
CONDOMINIO FLAMBOYANT MIRIM,Moradia,$moradia/condominio
CONDOMINIO PRIME RESIDENCE,Moradia,$moradia/condominio
CONDOMINIO VINCENT VAN GOGH,Moradia,$moradia/condominio
EDIFICIO MONUMENTAL COQUEIRINHO,Moradia,$moradia/condominio
RESIDENCIAL TOPAZIO IMPERIAL,Moradia,$moradia/condominio
RESIDENCIAL RECANTO DA VILLA,Moradia,$moradia/condominio
RESIDENCIAL LAGOA,Moradia,$moradia/condominio
MONACO BETHAVILLE,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL FRANCOIS CEVERT,Moradia,$moradia/condominio
EDIFICIO ESTRELAS DO SUL,Moradia,$moradia/condominio
EDIFICIO RESIDENCIAL ILHA DAS FLORES,Moradia,$moradia/condominio
EDIFICIO JOAO FERRAZ,Moradia,$moradia/condominio
REDENTOR HOME & BUSINESS,Moradia,$moradia/condominio
RESIDENCIAL JARDINS,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL BARCELOS RESIDENCE,Moradia,$moradia/condominio
CONDOMINIO DO EDIFICIO ELENISIA,Moradia,$moradia/condominio
SOLAR DAS NACOES,Moradia,$moradia/condominio
DUMONT RESIDENCE,Moradia,$moradia/condominio
CONDOMINIO PARQUE RESIDENCIAL ALTO DAS ANDORINHAS I,Moradia,$moradia/condominio
CONDOMINIO BELIZE RESIDENCE,Moradia,$moradia/condominio
CONDOMINIO MARQUES DE ALCANTARA,Moradia,$moradia/condominio
EDIFICIO MOURAO,Moradia,$moradia/condominio
RESIDENCIAL NOSSA SENHORA APARECIDA,Moradia,$moradia/condominio
EDIFICIO VERA CRUZ,Moradia,$moradia/condominio
CONDOMINIO DO EDIFICIO OMEGA,Moradia,$moradia/condominio
RESIDENCIAL PETRA,Moradia,$moradia/condominio
PRIME CAMPESTRE,Moradia,$moradia/condominio
CONDOMINIO EDIFICIO SOROCABA,Moradia,$moradia/condominio
CONDOMINIO RAVELLO RESIDENCE,Moradia,$moradia/condominio
FELICIDADE 5,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL E COMERCIAL SANTORINI,Moradia,$moradia/condominio
RESIDENCIAL BARILOCHE THREE,Moradia,$moradia/condominio
RESIDENCIAL RESERVA DO VALE,Moradia,$moradia/condominio
CONDOMINIO EXCLUSIVE PLACE,Moradia,$moradia/condominio
EDIFICIO GABRIEL PACHECO,Moradia,$moradia/condominio
PIAZZA DI ROMA TROPICAL,Moradia,$moradia/condominio
RESIDENCIAL HORTENCIAS,Moradia,$moradia/condominio
CONDOMINIO BELA VISTA,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIA PARANANBUCO,Moradia,$moradia/condominio
EDIFICIO RESIDENCIAL FIGUEIRA,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL SAINT MICHAEL,Moradia,$moradia/condominio
CONDOMINIO EDIFICIO RESIDENCE PORTINARI,Moradia,$moradia/condominio
RESIDENCIAL LISBOA,Moradia,$moradia/condominio
CONDOMINIO MISTO MASTER,Moradia,$moradia/condominio
RESIDENCIAL NILO MAZZEI,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL PARMA,Moradia,$moradia/condominio
EDIFICIO ARCIE,Moradia,$moradia/condominio
CONDOMINIO EDIFICIO ACROPOLE,Moradia,$moradia/condominio
CONDOMINIO DO EDIFICIO GOMES SERPA,Moradia,$moradia/condominio
CONDOMINIO PAULINA,Moradia,$moradia/condominio
CLOCK VILA ROMANA,Moradia,$moradia/condominio
EDIFICIO GENERAL CMARA,Moradia,$moradia/condominio
EDIFICIO MEDITERRANEO,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL FORTINITE,Moradia,$moradia/condominio
RESIDENCIAL AERO RANCHO CH 007,Moradia,$moradia/condominio
EDIFICIO COMANCHES,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL PEDRA BRANCA,Moradia,$moradia/condominio
CONDOMINIO JAMEL RESIDENCE,Moradia,$moradia/condominio
CONDOMINIO DO EDIFICIO GUARARA,Moradia,$moradia/condominio
EDIFICIO RESIDENCIAL BELLAGIO RESIDENCE,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL CORREA VI,Moradia,$moradia/condominio
LE VISAGE DIVINITE,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL VIDA BUENA,Moradia,$moradia/condominio
RESIDENCIAL BEIRA DA MATA II,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL UNIQUE UBERABA II,Moradia,$moradia/condominio
CENTRAL PLACE,Moradia,$moradia/condominio
EDIFICIO RESIDENCIAL DONA OLINDA,Moradia,$moradia/condominio
CONDOMINIO VERDE MAR,Moradia,$moradia/condominio
SETOR COMERCIAL,Moradia,$moradia/condominio
RESIDENCIAL BLUE PARK,Moradia,$moradia/condominio
CONDOMINIO EDIFICIO VISCONDE DE TAUNAY,Moradia,$moradia/condominio
EDIFICIO SAO GERONIMO,Moradia,$moradia/condominio
ELEV ARACATUBA,Moradia,$moradia/condominio
EDIFICIO KARINA,Moradia,$moradia/condominio
CONDOMINIO LAISAN,Moradia,$moradia/condominio
CONJUNTO HABITACIONAL NOVA PAMPULHA,Moradia,$moradia/condominio
EDIFICIO JACUTINGA,Moradia,$moradia/condominio
CONDOMINIO E EDIFICIO FLOW WORK + LIVE,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL VILLAGE DAS ROMAS,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL VIVENDA CASA BRANCA II,Moradia,$moradia/condominio
CONDOMINIO EDIFICIO PIUNA,Moradia,$moradia/condominio
RESIDENCIAL HORTENSIA,Moradia,$moradia/condominio
EDIFICIO RESIDENCIAL VILA RICA,Moradia,$moradia/condominio
EDIFICIO LAS VERBENAS,Moradia,$moradia/condominio
RESIDENCIAL RAVENNA,Moradia,$moradia/condominio
CONDOMINIO UNIQUE UBERABA I,Moradia,$moradia/condominio
CONDOMINIO DO RESIDENCIAL VALE DO AMAZONAS,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL PARK DAS CASTANHEIRAS VI,Moradia,$moradia/condominio
EDIFICIO RESIDENCIAL DONA MARIA,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL UPSIDE DIADEMA,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL VILLAGE II,Moradia,$moradia/condominio
CONDOMINIO EDIFICIO GEO GRAND EXTO OFFICES,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL POTENZA,Moradia,$moradia/condominio
CONDOMINIO EDIFICIO LA PROVIDENCE VII,Moradia,$moradia/condominio
CONDOMINIO DO EDIFICIO ROSA DO ALMIRANTE,Moradia,$moradia/condominio
RESIDENCIAL RICARDO MAIA,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL SANTA ROSALIA II,Moradia,$moradia/condominio
CONDOMINIO DO EDIFICIO NOSSA SENHORA D'AJUDA,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL COLIBRI,Moradia,$moradia/condominio
CONDOMINIO ANTONIO MENDES,Moradia,$moradia/condominio
VIVA VISTA BRISA,Moradia,$moradia/condominio
RESIDENCIAL OLIVEIRA,Moradia,$moradia/condominio
EDIFICIO SAVANNA,Moradia,$moradia/condominio
CONDOMINIO BURITIS,Moradia,$moradia/condominio
RESIDENCIAL CECILIA MEIRELES,Moradia,$moradia/condominio
CONDOMINIO ESTUDIO K-PLATZ,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL ALTA VISTA,Moradia,$moradia/condominio
CONDOMINIO DO EDIFICIO RESIDENCIAL NINIVE ALMEIDA,Moradia,$moradia/condominio
BELIZE RESIDENCIAL CLUB,Moradia,$moradia/condominio
RESIDENCIAL PARK PALMEIRAS,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL FELICITA,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL PARQUE CONTINENTAL,Moradia,$moradia/condominio
CONDOMINIO DO EDIFICIO TEIXEIRA,Moradia,$moradia/condominio
RESIDENCIAL LAGUNA,Moradia,$moradia/condominio
RESIDENCIAL TERRACE VIII,Moradia,$moradia/condominio
CONDOMINIO SONHO MEU,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL VALENCIA,Moradia,$moradia/condominio
RESIDENCIAL MONTEBELLO,Moradia,$moradia/condominio
IBERIA RESIDENCE,Moradia,$moradia/condominio
RESIDENCIAL DA TIJUCA,Moradia,$moradia/condominio
CONDOMINIO B,Moradia,$moradia/condominio
RESIDENCIAL SOLAR ITALIA,Moradia,$moradia/condominio
RESIDENCIAL SANTA INES,Moradia,$moradia/condominio
CONDOMINIO EDIFICIO RESIDENCIAL BOM PASTOR,Moradia,$moradia/condominio
RESIDENCIAL DEPUTADO GUILHERME UCHOA II,Moradia,$moradia/condominio
EDIFICIO RESIDENCIAL PAUL HUGON,Moradia,$moradia/condominio
EDIFICIO 12 DE OUTUBRO,Moradia,$moradia/condominio
VILLA LOBOS RESIDENCE,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL MONTE REY,Moradia,$moradia/condominio
RESIDENCIAL KEPLER,Moradia,$moradia/condominio
CONDOMINIO DO EDIFICIO BRUNA,Moradia,$moradia/condominio
RESIDENCIAL LAGUNA,Moradia,$moradia/condominio
EDIFICIO MONTES CLAROS II,Moradia,$moradia/condominio
RESIDENCIALVILLAGIO ALVES DE ALMEIDA,Moradia,$moradia/condominio
RESIDENCIAL IPE FLORIDO,Moradia,$moradia/condominio
EDIFICIO PIEMONTE,Moradia,$moradia/condominio
EDIFICIO RESIDENCIAL ECCO,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL MURANO,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL ANGUILLA,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL DOM PADILHA,Moradia,$moradia/condominio
CONDOMINIO DO EDIFICIO RESIDENCIAL VIENA,Moradia,$moradia/condominio
CENTRO COMERCIAL XV DE NOVEMBRO,Moradia,$moradia/condominio
EDIFICIO CANAA I,Moradia,$moradia/condominio
CENTRO EMPRESARIAL CAYMMI,Moradia,$moradia/condominio
RESIDENCIAL BELO JARDIM II,Moradia,$moradia/condominio
CONDOMINIO EDIFICIO HAVAI 295,Moradia,$moradia/condominio
RESIDENCIAL BERTIOGA,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL PIAZZA DI SPAGNA,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL GOLDBERG II,Moradia,$moradia/condominio
RESIDENCIAL YOHANAN II,Moradia,$moradia/condominio
RESIDENCIAL JARDINS DE FLORENCA,Moradia,$moradia/condominio
RESIDENCIAL OCEANIC III,Moradia,$moradia/condominio
EDIFICIO RESIDENCIAL E COMERCIAL MARIA CLARA NOBRE,Moradia,$moradia/condominio
EDIFICIO COMERCIAL ALPENVILLE,Moradia,$moradia/condominio
RESIDENCIAL LEBLON MARISTA,Moradia,$moradia/condominio
CONDOMINIO PARQUE DOS GIRASSOIS,Moradia,$moradia/condominio
CONDOMINIO DO EDIFICIO PEDRO AFONSO,Moradia,$moradia/condominio
CONDOMINIO DO EDIFICIO VINTAGE 3O3 PREMIUM,Moradia,$moradia/condominio
RESIDENCIAL SOLAR,Moradia,$moradia/condominio
GALERIA GRAO MOGOL,Moradia,$moradia/condominio
EDIFICIO SAN REMO,Moradia,$moradia/condominio
CONDOMINIO EDIMBURDO,Moradia,$moradia/condominio
CONDOMINIO VILLA DA MATA RESIDENCE,Moradia,$moradia/condominio
CONDOMINIO ALTO DE SANTA,Moradia,$moradia/condominio
JARDIM IMPERIAL,Moradia,$moradia/condominio
CONDOMINIO COSTA DO MARFIM,Moradia,$moradia/condominio
NOVA FRIBURGO,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL VILLAGIO DOS GIRASSOIS,Moradia,$moradia/condominio
RESIDENCIAL PAULO DE SOUZA,Moradia,$moradia/condominio
EDIFICIO RESIDENCIAL VIDA BOA,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL ILHA DO MEL,Moradia,$moradia/condominio
